,place,tw_visit,ym
108,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_09
109,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_10
110,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_11
111,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_12
112,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_01
113,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_02
114,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_03
115,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_04
116,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_05
117,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_06
118,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_07
119,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_08
120,Andersonville_NHS_(ANDE),4.0,2014_01
121,Andersonville_NHS_(ANDE),3.0,2014_02
122,Andersonville_NHS_(ANDE),7.0,2014_03
123,Andersonville_NHS_(ANDE),4.0,2014_04
124,Andersonville_NHS_(ANDE),8.0,2014_05
125,Andersonville_NHS_(ANDE),6.0,2014_06
126,Andersonville_NHS_(ANDE),2.0,2014_07
127,Andersonville_NHS_(ANDE),2.0,2014_08
128,Andersonville_NHS_(ANDE),2.0,2014_09
129,Andersonville_NHS_(ANDE),1.0,2014_10
130,Andersonville_NHS_(ANDE),2.0,2014_11
131,Andersonville_NHS_(ANDE),1.0,2014_12
132,Andersonville_NHS_(ANDE),1.0,2015_01
133,Andersonville_NHS_(ANDE),2.0,2015_02
134,Andersonville_NHS_(ANDE),2.0,2015_03
135,Andersonville_NHS_(ANDE),5.0,2015_04
136,Andersonville_NHS_(ANDE),4.0,2015_05
137,Andersonville_NHS_(ANDE),0.0,2015_06
138,Andersonville_NHS_(ANDE),1.0,2015_07
139,Andersonville_NHS_(ANDE),1.0,2015_08
140,Andersonville_NHS_(ANDE),1.0,2015_09
