,place,tw_visit,ym
0,Acadia_NP_(ACAD),45.0,2014_01
1,Acadia_NP_(ACAD),25.0,2014_02
2,Acadia_NP_(ACAD),42.0,2014_03
3,Acadia_NP_(ACAD),43.0,2014_04
4,Acadia_NP_(ACAD),90.0,2014_05
5,Acadia_NP_(ACAD),189.0,2014_06
6,Acadia_NP_(ACAD),319.0,2014_07
7,Acadia_NP_(ACAD),354.0,2014_08
8,Acadia_NP_(ACAD),163.0,2014_09
9,Acadia_NP_(ACAD),140.0,2014_10
10,Acadia_NP_(ACAD),27.0,2014_11
11,Acadia_NP_(ACAD),21.0,2014_12
12,Acadia_NP_(ACAD),24.0,2015_01
13,Acadia_NP_(ACAD),20.0,2015_02
14,Acadia_NP_(ACAD),28.0,2015_03
15,Acadia_NP_(ACAD),24.0,2015_04
16,Acadia_NP_(ACAD),108.0,2015_05
17,Acadia_NP_(ACAD),179.0,2015_06
18,Acadia_NP_(ACAD),329.0,2015_07
19,Acadia_NP_(ACAD),418.0,2015_08
20,Acadia_NP_(ACAD),320.0,2015_09
21,Acadia_NP_(ACAD),299.0,2015_10
22,Acadia_NP_(ACAD),108.0,2015_11
23,Acadia_NP_(ACAD),50.0,2015_12
24,Acadia_NP_(ACAD),75.0,2016_01
25,Acadia_NP_(ACAD),75.0,2016_02
26,Acadia_NP_(ACAD),43.0,2016_03
27,Acadia_NP_(ACAD),72.0,2016_04
28,Acadia_NP_(ACAD),139.0,2016_05
29,Acadia_NP_(ACAD),274.0,2016_06
30,Acadia_NP_(ACAD),494.0,2016_07
31,Acadia_NP_(ACAD),515.0,2016_08
32,Adams_NHP,29.0,2014_01
33,Adams_NHP,26.0,2014_02
34,Adams_NHP,35.0,2014_03
35,Adams_NHP,16.0,2014_04
36,Adams_NHP,28.0,2014_05
37,Adams_NHP,15.0,2014_06
38,Adams_NHP,24.0,2014_07
39,Adams_NHP,29.0,2014_08
40,Adams_NHP,29.0,2014_09
41,Adams_NHP,18.0,2014_10
42,Adams_NHP,17.0,2014_11
43,Adams_NHP,15.0,2014_12
44,Adams_NHP,16.0,2015_01
45,Adams_NHP,13.0,2015_02
46,Adams_NHP,14.0,2015_03
47,Adams_NHP,10.0,2015_04
48,Adams_NHP,3.0,2015_05
49,Adams_NHP,3.0,2015_06
50,Adams_NHP,3.0,2015_07
51,Adams_NHP,1.0,2015_08
52,Adams_NHP,1.0,2015_09
53,Adams_NHP,2.0,2015_10
54,Adams_NHP,0.0,2015_11
55,Adams_NHP,1.0,2015_12
56,Adams_NHP,0.0,2016_01
57,Adams_NHP,0.0,2016_02
