,fl_visit,place,ym
111,0.0,Agate_Fossil_Beds_NM,2015_04
112,0.0,Agate_Fossil_Beds_NM,2015_05
113,0.0,Agate_Fossil_Beds_NM,2015_06
114,0.0,Agate_Fossil_Beds_NM,2015_07
115,0.0,Agate_Fossil_Beds_NM,2015_08
116,1.0,Agate_Fossil_Beds_NM,2015_09
117,0.0,Agate_Fossil_Beds_NM,2015_10
118,0.0,Agate_Fossil_Beds_NM,2015_11
119,0.0,Agate_Fossil_Beds_NM,2015_12
120,0.0,Agate_Fossil_Beds_NM,2016_01
121,0.0,Agate_Fossil_Beds_NM,2016_02
122,0.0,Agate_Fossil_Beds_NM,2016_03
123,0.0,Agate_Fossil_Beds_NM,2016_04
124,0.0,Agate_Fossil_Beds_NM,2016_05
125,0.0,Agate_Fossil_Beds_NM,2016_06
126,3.0,Agate_Fossil_Beds_NM,2016_07
127,1.0,Agate_Fossil_Beds_NM,2016_08
128,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_01
129,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_02
130,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_03
131,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_04
132,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_05
133,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_06
134,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_07
135,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_08
136,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_09
137,1.0,Alibates_Flint_Quarries_NM_(ALFL),2014_10
138,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_11
139,0.0,Alibates_Flint_Quarries_NM_(ALFL),2014_12
140,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_01
141,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_02
142,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_03
143,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_04
144,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_05
145,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_06
146,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_07
147,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_08
148,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_09
149,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_10
150,0.0,Alibates_Flint_Quarries_NM_(ALFL),2015_11
151,1.0,Alibates_Flint_Quarries_NM_(ALFL),2015_12
152,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_01
153,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_02
154,1.0,Alibates_Flint_Quarries_NM_(ALFL),2016_03
155,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_04
156,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_05
157,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_06
158,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_07
159,0.0,Alibates_Flint_Quarries_NM_(ALFL),2016_08
160,1.0,Andersonville_NHS_(ANDE),2014_01
161,0.0,Andersonville_NHS_(ANDE),2014_02
162,0.0,Andersonville_NHS_(ANDE),2014_03
163,0.0,Andersonville_NHS_(ANDE),2014_04
164,1.0,Andersonville_NHS_(ANDE),2014_05
165,1.0,Andersonville_NHS_(ANDE),2014_06
166,0.0,Andersonville_NHS_(ANDE),2014_07
167,2.0,Andersonville_NHS_(ANDE),2014_08
168,0.0,Andersonville_NHS_(ANDE),2014_09
169,0.0,Andersonville_NHS_(ANDE),2014_10
170,0.0,Andersonville_NHS_(ANDE),2014_11
171,1.0,Andersonville_NHS_(ANDE),2014_12
172,0.0,Andersonville_NHS_(ANDE),2015_01
173,1.0,Andersonville_NHS_(ANDE),2015_02
174,0.0,Andersonville_NHS_(ANDE),2015_03
175,0.0,Andersonville_NHS_(ANDE),2015_04
176,1.0,Andersonville_NHS_(ANDE),2015_05
177,0.0,Andersonville_NHS_(ANDE),2015_06
178,0.0,Andersonville_NHS_(ANDE),2015_07
179,0.0,Andersonville_NHS_(ANDE),2015_08
180,0.0,Andersonville_NHS_(ANDE),2015_09
181,0.0,Andersonville_NHS_(ANDE),2015_10
182,0.0,Andersonville_NHS_(ANDE),2015_11
183,0.0,Andersonville_NHS_(ANDE),2015_12
184,0.0,Andersonville_NHS_(ANDE),2016_01
185,0.0,Andersonville_NHS_(ANDE),2016_02
186,1.0,Andersonville_NHS_(ANDE),2016_03
187,0.0,Andersonville_NHS_(ANDE),2016_04
188,0.0,Andersonville_NHS_(ANDE),2016_05
189,0.0,Andersonville_NHS_(ANDE),2016_06
190,1.0,Andersonville_NHS_(ANDE),2016_07
191,0.0,Andersonville_NHS_(ANDE),2016_08
192,0.0,Antietam_NB_(ANTI),2014_01
193,1.0,Antietam_NB_(ANTI),2014_02
194,0.0,Antietam_NB_(ANTI),2014_03
195,6.0,Antietam_NB_(ANTI),2014_04
196,7.0,Antietam_NB_(ANTI),2014_05
197,3.0,Antietam_NB_(ANTI),2014_06
198,5.0,Antietam_NB_(ANTI),2014_07
199,4.0,Antietam_NB_(ANTI),2014_08
200,5.0,Antietam_NB_(ANTI),2014_09
201,6.0,Antietam_NB_(ANTI),2014_10
202,0.0,Antietam_NB_(ANTI),2014_11
203,1.0,Antietam_NB_(ANTI),2014_12
204,2.0,Antietam_NB_(ANTI),2015_01
205,1.0,Antietam_NB_(ANTI),2015_02
206,1.0,Antietam_NB_(ANTI),2015_03
207,7.0,Antietam_NB_(ANTI),2015_04
208,5.0,Antietam_NB_(ANTI),2015_05
209,3.0,Antietam_NB_(ANTI),2015_06
210,6.0,Antietam_NB_(ANTI),2015_07
211,5.0,Antietam_NB_(ANTI),2015_08
212,7.0,Antietam_NB_(ANTI),2015_09
213,4.0,Antietam_NB_(ANTI),2015_10
214,7.0,Antietam_NB_(ANTI),2015_11
215,3.0,Antietam_NB_(ANTI),2015_12
216,3.0,Antietam_NB_(ANTI),2016_01
217,1.0,Antietam_NB_(ANTI),2016_02
218,1.0,Antietam_NB_(ANTI),2016_03
219,7.0,Antietam_NB_(ANTI),2016_04
220,1.0,Antietam_NB_(ANTI),2016_05
221,4.0,Antietam_NB_(ANTI),2016_06
222,4.0,Antietam_NB_(ANTI),2016_07
223,2.0,Antietam_NB_(ANTI),2016_08
224,0.0,Appomattox_Court_House_NHP_(APCO),2014_01
225,1.0,Appomattox_Court_House_NHP_(APCO),2014_02
226,0.0,Appomattox_Court_House_NHP_(APCO),2014_03
227,2.0,Appomattox_Court_House_NHP_(APCO),2014_04
228,0.0,Appomattox_Court_House_NHP_(APCO),2014_05
229,2.0,Appomattox_Court_House_NHP_(APCO),2014_06
230,1.0,Appomattox_Court_House_NHP_(APCO),2014_07
231,1.0,Appomattox_Court_House_NHP_(APCO),2014_08
232,0.0,Appomattox_Court_House_NHP_(APCO),2014_09
233,2.0,Appomattox_Court_House_NHP_(APCO),2014_10
234,1.0,Appomattox_Court_House_NHP_(APCO),2014_11
235,0.0,Appomattox_Court_House_NHP_(APCO),2014_12
236,1.0,Appomattox_Court_House_NHP_(APCO),2015_01
237,1.0,Appomattox_Court_House_NHP_(APCO),2015_02
238,0.0,Appomattox_Court_House_NHP_(APCO),2015_03
239,5.0,Appomattox_Court_House_NHP_(APCO),2015_04
240,2.0,Appomattox_Court_House_NHP_(APCO),2015_05
241,0.0,Appomattox_Court_House_NHP_(APCO),2015_06
242,0.0,Appomattox_Court_House_NHP_(APCO),2015_07
243,0.0,Appomattox_Court_House_NHP_(APCO),2015_08
244,0.0,Appomattox_Court_House_NHP_(APCO),2015_09
245,0.0,Appomattox_Court_House_NHP_(APCO),2015_10
246,1.0,Appomattox_Court_House_NHP_(APCO),2015_11
247,0.0,Appomattox_Court_House_NHP_(APCO),2015_12
248,0.0,Appomattox_Court_House_NHP_(APCO),2016_01
249,1.0,Appomattox_Court_House_NHP_(APCO),2016_02
250,0.0,Appomattox_Court_House_NHP_(APCO),2016_03
251,1.0,Appomattox_Court_House_NHP_(APCO),2016_04
252,2.0,Appomattox_Court_House_NHP_(APCO),2016_05
253,1.0,Appomattox_Court_House_NHP_(APCO),2016_06
254,1.0,Appomattox_Court_House_NHP_(APCO),2016_07
255,0.0,Appomattox_Court_House_NHP_(APCO),2016_08
256,30.0,Arches_NP_(ARCH),2014_01
257,18.0,Arches_NP_(ARCH),2014_02
258,55.0,Arches_NP_(ARCH),2014_03
259,52.0,Arches_NP_(ARCH),2014_04
260,70.0,Arches_NP_(ARCH),2014_05
261,55.0,Arches_NP_(ARCH),2014_06
262,53.0,Arches_NP_(ARCH),2014_07
263,57.0,Arches_NP_(ARCH),2014_08
264,57.0,Arches_NP_(ARCH),2014_09
265,52.0,Arches_NP_(ARCH),2014_10
266,25.0,Arches_NP_(ARCH),2014_11
267,20.0,Arches_NP_(ARCH),2014_12
268,14.0,Arches_NP_(ARCH),2015_01
269,21.0,Arches_NP_(ARCH),2015_02
270,38.0,Arches_NP_(ARCH),2015_03
271,40.0,Arches_NP_(ARCH),2015_04
272,65.0,Arches_NP_(ARCH),2015_05
273,47.0,Arches_NP_(ARCH),2015_06
274,27.0,Arches_NP_(ARCH),2015_07
275,48.0,Arches_NP_(ARCH),2015_08
276,53.0,Arches_NP_(ARCH),2015_09
277,59.0,Arches_NP_(ARCH),2015_10
278,25.0,Arches_NP_(ARCH),2015_11
279,10.0,Arches_NP_(ARCH),2015_12
280,7.0,Arches_NP_(ARCH),2016_01
281,4.0,Arches_NP_(ARCH),2016_02
282,22.0,Arches_NP_(ARCH),2016_03
283,33.0,Arches_NP_(ARCH),2016_04
284,36.0,Arches_NP_(ARCH),2016_05
285,28.0,Arches_NP_(ARCH),2016_06
286,29.0,Arches_NP_(ARCH),2016_07
287,30.0,Arches_NP_(ARCH),2016_08
288,0.0,Arkansas_Post_NMEM_(ARPO),2014_01
289,0.0,Arkansas_Post_NMEM_(ARPO),2014_02
290,0.0,Arkansas_Post_NMEM_(ARPO),2014_03
291,0.0,Arkansas_Post_NMEM_(ARPO),2014_04
292,0.0,Arkansas_Post_NMEM_(ARPO),2014_05
293,0.0,Arkansas_Post_NMEM_(ARPO),2014_06
294,0.0,Arkansas_Post_NMEM_(ARPO),2014_07
295,0.0,Arkansas_Post_NMEM_(ARPO),2014_08
296,0.0,Arkansas_Post_NMEM_(ARPO),2014_09
297,0.0,Arkansas_Post_NMEM_(ARPO),2014_10
298,0.0,Arkansas_Post_NMEM_(ARPO),2014_11
299,0.0,Arkansas_Post_NMEM_(ARPO),2014_12
300,0.0,Arkansas_Post_NMEM_(ARPO),2015_01
301,0.0,Arkansas_Post_NMEM_(ARPO),2015_02
302,0.0,Arkansas_Post_NMEM_(ARPO),2015_03
303,2.0,Arkansas_Post_NMEM_(ARPO),2015_04
304,0.0,Arkansas_Post_NMEM_(ARPO),2015_05
305,0.0,Arkansas_Post_NMEM_(ARPO),2015_06
306,0.0,Arkansas_Post_NMEM_(ARPO),2015_07
307,0.0,Arkansas_Post_NMEM_(ARPO),2015_08
308,0.0,Arkansas_Post_NMEM_(ARPO),2015_09
309,0.0,Arkansas_Post_NMEM_(ARPO),2015_10
310,1.0,Arkansas_Post_NMEM_(ARPO),2015_11
311,0.0,Arkansas_Post_NMEM_(ARPO),2015_12
312,0.0,Arkansas_Post_NMEM_(ARPO),2016_01
313,0.0,Arkansas_Post_NMEM_(ARPO),2016_02
314,0.0,Arkansas_Post_NMEM_(ARPO),2016_03
315,1.0,Arkansas_Post_NMEM_(ARPO),2016_04
316,0.0,Arkansas_Post_NMEM_(ARPO),2016_05
317,0.0,Arkansas_Post_NMEM_(ARPO),2016_06
318,0.0,Arkansas_Post_NMEM_(ARPO),2016_07
319,1.0,Arkansas_Post_NMEM_(ARPO),2016_08
320,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_01
321,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_02
322,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_03
323,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_04
324,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_05
325,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_06
326,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_07
327,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_08
328,2.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_09
329,2.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_10
330,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_11
331,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2014_12
332,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_01
333,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_02
334,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_03
335,2.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_04
336,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_05
337,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_06
338,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_07
339,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_08
340,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_09
341,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_10
