,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
HORNIMAN_MUSEUM_September,"23,037","16,611","25,288","28,902","28,826","35,427","34,867","32,718","36,513","49,644","45,092","47,558", - 
HORNIMAN_MUSEUM_October,"27,200","27,244","41,995","38,354","42,139","52,849","48,478","43,209","46,476","61,954","64,679","69,870", - 
HORNIMAN_MUSEUM_November,"17,325","19,170","27,717","27,290","29,706","39,253","32,741","32,392","42,190","52,515","54,358","49,677", - 
HORNIMAN_MUSEUM_December,"16,560","15,861","27,204","23,929","25,665","27,951","25,563","27,300","42,059","48,125","43,776","45,506", - 
HORNIMAN_MUSEUM_January,"18,877","19,194","28,859","28,486","33,476","39,130","38,890","38,258","38,608","54,899","49,824","52,219", - 
HORNIMAN_MUSEUM_February,"27,225","24,929","48,788","42,996","32,077","48,828","47,501","44,494","53,932","56,972","59,610","71,206", - 
HORNIMAN_MUSEUM_March,"23,086","22,296","38,276","40,197","51,074","50,337","38,664","45,483","66,021","58,278","58,596","79,620", - 
HORNIMAN_MUSEUM_FY_Total,"303,428","282,868","429,866","477,894","483,113","621,301","584,974","509,279","616,075","698,051","750,382","793,883","270,021"
IWM_TOTAL_April,"186,892","187,915","194,181","181,982","163,778","192,775","200,142","185,712","209,926","137,002","157,450","229,487","213,247"
IWM_TOTAL_May,"169,107","223,600","162,336","187,043","192,840","187,913","193,635","180,132","181,051","156,918","169,749","261,665","218,894"
IWM_TOTAL_June,"210,462","179,361","167,172","167,230","155,107","164,958","190,834","205,826","214,313","134,601","144,708","215,539","209,813"
IWM_TOTAL_July,"222,688","205,863","216,115","225,056","223,390","233,590","265,349","277,576","205,876","197,417","301,443","295,101","275,039"
IWM_TOTAL_August,"205,298","174,454","219,031","207,458","219,977","243,647","285,501","276,118","224,807","285,373","463,235","282,260", - 
IWM_TOTAL_September,"158,664","152,206","168,855","171,359","149,456","168,580","218,416","197,931","197,999","198,341","294,976","221,799", - 
IWM_TOTAL_October,"201,526","191,164","190,074","201,617","201,488","219,007","235,733","222,815","212,422","213,539","333,300","228,949", - 
IWM_TOTAL_November,"130,950","117,738","129,985","136,655","151,711","135,576","152,272","151,484","158,292","152,813","241,491","156,206", - 
IWM_TOTAL_December,"100,653","91,267","98,305","94,689","105,308","95,726","106,340","107,610","113,089","115,990","157,331","120,585", - 
IWM_TOTAL_January,"104,452","97,767","100,546","100,874","116,679","94,363","129,727","120,408","60,235","77,275","160,654","132,431", - 
IWM_TOTAL_February,"163,933","144,401","149,978","149,498","169,383","177,174","173,281","165,314","95,664","99,362","191,700","180,975", - 
IWM_TOTAL_March,"201,821","140,774","159,491","175,870","157,648","165,955","166,409","162,284","116,604","107,292","197,808","213,519", - 
IWM_TOTAL_FY_Total,"2,056,446","1,906,510","1,956,069","1,999,331","2,006,765","2,079,264","2,317,639","2,253,210","1,990,278","1,875,923","2,813,845","2,538,516","916,993"
IWM_LONDON_April,"70,530","84,140","72,354","70,193","76,603","81,726","91,434","68,171","106,661",272,139,"102,732","93,459"
IWM_LONDON_May,"58,580","78,886","54,931","68,720","76,823","72,253","80,038","65,705","78,356",232,100,"105,807","82,576"
IWM_LONDON_June,"64,736","61,496","56,070","58,047","57,673","60,935","87,133","81,873","82,313",179,76,"90,949","84,612"
IWM_LONDON_July,"65,119","51,093","64,369","65,521","68,198","79,512","115,403","103,052","82,056","11,839","102,185","107,860","101,456"
IWM_LONDON_August,"66,071","48,046","76,664","70,433","80,742","91,698","130,041","110,908","82,229","104,016","256,891","110,922", - 
IWM_LONDON_September,"48,592","39,296","49,312","50,229","54,364","59,479","86,581","69,570","70,360","65,558","138,813","76,328", - 
IWM_LONDON_October,"80,006","63,431","70,008","75,468","93,947","101,566","108,637","89,667","85,458","70,819","183,163","99,070", - 
IWM_LONDON_November,"56,455","50,658","54,581","62,183","73,897","65,780","81,407","72,323","66,263","58,993","134,756","70,373", - 
IWM_LONDON_December,"43,751","42,096","42,699","42,354","55,313","46,256","61,361","58,477","47,613","46,190","86,869","51,413", - 
