,place,tw_visit,ym
0,Acadia_NP_(ACAD),37.0,2014_01
1,Acadia_NP_(ACAD),19.0,2014_02
2,Acadia_NP_(ACAD),30.0,2014_03
3,Acadia_NP_(ACAD),31.0,2014_04
4,Acadia_NP_(ACAD),69.0,2014_05
5,Acadia_NP_(ACAD),137.0,2014_06
6,Acadia_NP_(ACAD),271.0,2014_07
7,Acadia_NP_(ACAD),296.0,2014_08
8,Acadia_NP_(ACAD),152.0,2014_09
9,Acadia_NP_(ACAD),115.0,2014_10
10,Acadia_NP_(ACAD),18.0,2014_11
11,Acadia_NP_(ACAD),15.0,2014_12
12,Acadia_NP_(ACAD),22.0,2015_01
13,Acadia_NP_(ACAD),16.0,2015_02
14,Acadia_NP_(ACAD),23.0,2015_03
15,Acadia_NP_(ACAD),23.0,2015_04
16,Acadia_NP_(ACAD),107.0,2015_05
17,Acadia_NP_(ACAD),178.0,2015_06
18,Acadia_NP_(ACAD),325.0,2015_07
19,Acadia_NP_(ACAD),414.0,2015_08
20,Acadia_NP_(ACAD),315.0,2015_09
21,Acadia_NP_(ACAD),291.0,2015_10
22,Acadia_NP_(ACAD),105.0,2015_11
23,Acadia_NP_(ACAD),48.0,2015_12
24,Acadia_NP_(ACAD),73.0,2016_01
25,Acadia_NP_(ACAD),75.0,2016_02
26,Acadia_NP_(ACAD),43.0,2016_03
27,Acadia_NP_(ACAD),72.0,2016_04
28,Acadia_NP_(ACAD),136.0,2016_05
29,Acadia_NP_(ACAD),273.0,2016_06
30,Acadia_NP_(ACAD),479.0,2016_07
31,Acadia_NP_(ACAD),503.0,2016_08
32,Adams_NHP,11.0,2014_01
33,Adams_NHP,12.0,2014_02
34,Adams_NHP,15.0,2014_03
35,Adams_NHP,10.0,2014_04
36,Adams_NHP,13.0,2014_05
37,Adams_NHP,7.0,2014_06
38,Adams_NHP,15.0,2014_07
39,Adams_NHP,13.0,2014_08
40,Adams_NHP,13.0,2014_09
41,Adams_NHP,7.0,2014_10
42,Adams_NHP,9.0,2014_11
43,Adams_NHP,4.0,2014_12
44,Adams_NHP,8.0,2015_01
45,Adams_NHP,5.0,2015_02
46,Adams_NHP,7.0,2015_03
47,Adams_NHP,4.0,2015_04
48,Adams_NHP,3.0,2015_05
49,Adams_NHP,1.0,2015_06
50,Adams_NHP,1.0,2015_07
51,Adams_NHP,1.0,2015_08
52,Adams_NHP,1.0,2015_09
53,Adams_NHP,1.0,2015_10
54,Adams_NHP,0.0,2015_11
55,Adams_NHP,1.0,2015_12
56,Adams_NHP,0.0,2016_01
57,Adams_NHP,0.0,2016_02
58,Adams_NHP,1.0,2016_03
59,Adams_NHP,1.0,2016_04
60,Adams_NHP,1.0,2016_05
61,Adams_NHP,3.0,2016_06
62,Adams_NHP,1.0,2016_07
63,Adams_NHP,0.0,2016_08
64,Agate_Fossil_Beds_NM,1.0,2014_07
65,Agate_Fossil_Beds_NM,0.0,2014_08
66,Agate_Fossil_Beds_NM,0.0,2014_09
67,Agate_Fossil_Beds_NM,0.0,2014_10
68,Agate_Fossil_Beds_NM,0.0,2014_11
69,Agate_Fossil_Beds_NM,0.0,2014_12
70,Agate_Fossil_Beds_NM,0.0,2015_01
71,Agate_Fossil_Beds_NM,0.0,2015_02
72,Agate_Fossil_Beds_NM,0.0,2015_03
73,Agate_Fossil_Beds_NM,0.0,2015_04
74,Agate_Fossil_Beds_NM,0.0,2015_05
75,Agate_Fossil_Beds_NM,1.0,2015_06
76,Agate_Fossil_Beds_NM,0.0,2015_07
77,Agate_Fossil_Beds_NM,1.0,2015_08
78,Agate_Fossil_Beds_NM,0.0,2015_09
79,Agate_Fossil_Beds_NM,0.0,2015_10
80,Agate_Fossil_Beds_NM,1.0,2015_11
81,Agate_Fossil_Beds_NM,0.0,2015_12
82,Agate_Fossil_Beds_NM,0.0,2016_01
83,Agate_Fossil_Beds_NM,0.0,2016_02
84,Agate_Fossil_Beds_NM,0.0,2016_03
85,Agate_Fossil_Beds_NM,0.0,2016_04
86,Agate_Fossil_Beds_NM,0.0,2016_05
87,Agate_Fossil_Beds_NM,0.0,2016_06
88,Agate_Fossil_Beds_NM,2.0,2016_07
89,Agate_Fossil_Beds_NM,1.0,2016_08
90,Allegheny_Portage_Railroad_NHS_(ALPO),1.0,2014_03
91,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_04
92,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_05
93,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_06
94,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_07
95,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_08
96,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_09
97,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_10
98,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_11
99,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2014_12
100,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_01
101,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_02
102,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_03
103,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_04
104,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_05
105,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_06
106,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_07
107,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_08
108,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_09
109,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_10
110,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_11
111,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2015_12
112,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_01
113,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_02
114,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_03
115,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_04
116,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_05
117,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_06
118,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_07
119,Allegheny_Portage_Railroad_NHS_(ALPO),0.0,2016_08
120,Andersonville_NHS_(ANDE),4.0,2014_01
121,Andersonville_NHS_(ANDE),4.0,2014_02
122,Andersonville_NHS_(ANDE),10.0,2014_03
123,Andersonville_NHS_(ANDE),4.0,2014_04
124,Andersonville_NHS_(ANDE),10.0,2014_05
125,Andersonville_NHS_(ANDE),8.0,2014_06
126,Andersonville_NHS_(ANDE),2.0,2014_07
127,Andersonville_NHS_(ANDE),2.0,2014_08
128,Andersonville_NHS_(ANDE),3.0,2014_09
129,Andersonville_NHS_(ANDE),2.0,2014_10
130,Andersonville_NHS_(ANDE),2.0,2014_11
131,Andersonville_NHS_(ANDE),7.0,2014_12
132,Andersonville_NHS_(ANDE),5.0,2015_01
133,Andersonville_NHS_(ANDE),2.0,2015_02
134,Andersonville_NHS_(ANDE),3.0,2015_03
135,Andersonville_NHS_(ANDE),6.0,2015_04
136,Andersonville_NHS_(ANDE),4.0,2015_05
137,Andersonville_NHS_(ANDE),0.0,2015_06
138,Andersonville_NHS_(ANDE),1.0,2015_07
139,Andersonville_NHS_(ANDE),1.0,2015_08
140,Andersonville_NHS_(ANDE),1.0,2015_09
141,Andersonville_NHS_(ANDE),4.0,2015_10
142,Andersonville_NHS_(ANDE),1.0,2015_11
143,Andersonville_NHS_(ANDE),0.0,2015_12
144,Andersonville_NHS_(ANDE),2.0,2016_01
145,Andersonville_NHS_(ANDE),3.0,2016_02
146,Andersonville_NHS_(ANDE),0.0,2016_03
147,Andersonville_NHS_(ANDE),1.0,2016_04
148,Andersonville_NHS_(ANDE),1.0,2016_05
149,Andersonville_NHS_(ANDE),4.0,2016_06
150,Andersonville_NHS_(ANDE),4.0,2016_07
151,Andersonville_NHS_(ANDE),5.0,2016_08
152,Aniakchak_NM_&_PRES_(ANIA),1.0,2014_02
153,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_03
154,Aniakchak_NM_&_PRES_(ANIA),1.0,2014_04
155,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_05
156,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_06
