place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,2013,"25,228","19,965","35,882","38,255","32,571","39,041","42,092","36,250","33,150","27,059","24,295","20,620","374,408"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fort Raleigh NHS,2016,"5,921","5,211","14,458","17,182","34,771","63,592","55,298","43,306","21,074","17,562",,,"278,375"
,2015,"3,891","4,358","11,562","17,059","37,175","54,419","57,408","47,103","23,966","17,658","10,137","5,149","289,885"
,2014,"3,999","3,952","8,616","11,190","34,777","54,574","54,498","38,151","21,104","19,079","9,078","5,969","264,987"
,2013,"4,066","4,473","10,055","14,698","36,142","53,123","54,173","45,547","20,894","9,075","7,164","4,188","263,598"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gates of the Arctic NP & PRES,2016,306,310,389,172,,,,,,,,,"1,177"
,2015,137,138,272,68,354,"2,071","2,968","3,393","1,100",0,0,244,"10,745"
,2014,501,501,928,218,342,"2,508","3,195","3,665",720,12,12,67,"12,669"
,2013,230,302,127,5,215,"2,175","3,377","3,882",606,0,0,93,"11,012"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gateway NRA,2016,"216,795","263,344","360,096","416,937","653,215","1,034,638","1,253,480","1,330,781","708,418",,,,"6,237,704"
,2015,"202,285","241,032","332,770","410,345","587,694","712,586","1,022,432","963,667","661,569","483,670","451,044","323,471","6,392,565"
,2014,"199,792","240,406","330,667","389,603","573,842","683,544","963,230","920,347","601,825","402,959","417,315","298,183","6,021,713"
,2013,"185,380","210,046","285,452","347,892","608,477","840,983","1,069,774","962,343","697,389","373,604","498,396","111,510","6,191,246"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gauley River NRA,2016,"1,150","1,800","6,722","6,930","5,970","14,778","12,927","7,898","34,612","17,621",,,"110,408"
,2015,"1,506","1,382","3,789","5,864","7,932","8,038","12,964","9,469","32,208","17,069","3,278","1,875","105,374"
,2014,"1,350","3,078","7,862","7,822","7,928","10,192","16,002","9,530","30,757","19,916","1,193","1,724","117,354"
,2013,"1,350","2,102","5,638","5,588","6,208","10,710","19,350","26,605","36,980","17,075","2,815",888,"135,309"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hagerman Fossil Beds NM,2016,617,"1,009","2,169","2,560","2,657","3,793","4,298","3,122","2,118","2,041",,,"24,384"
,2015,555,797,"2,053","3,236","2,870","2,581","3,544","3,149","2,562","1,872",884,592,"24,695"
,2014,567,634,"1,996","1,803","4,205","3,028","3,370","2,882","1,702","1,368",537,390,"22,482"
,2013,291,485,"1,542","1,532","3,322","3,495","3,208","2,789","2,152",900,859,433,"21,008"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Haleakala NP,2016,"107,269","101,804","108,907","99,227","111,482","108,549","107,644","116,376","100,997",,,,"962,255"
,2015,"94,741","87,335","100,985","98,444","106,655","107,933","114,193","105,682","102,845","99,116","94,726","104,117","1,216,772"
,2014,"90,299","84,262","93,803","93,199","90,016","103,977","105,419","98,458","92,327","97,832","90,380","102,068","1,142,040"
,2013,"87,198","82,908","99,538","65,910","89,138","95,196","77,348","24,994","44,510","19,875","44,507","54,178","785,300"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hamilton Grange NMEM,2016,"3,289","3,554","6,550","9,848","9,683","7,553","9,136","7,170","5,595","7,857",,,"70,235"
,2015,715,682,"1,014","3,195","2,531","2,724","3,750","3,880","3,058","6,735","3,729","3,433","35,446"
,2014,694,683,"1,233","2,532","2,486","2,757","2,582","2,057","1,591","2,004","1,166","1,158","20,943"
,2013,814,997,"1,831","2,154","2,725","2,388","1,994","2,209","1,822","1,283","1,096","1,116","20,429"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hampton NHS,2016,"1,581","2,691","2,631","2,864","4,113","2,882","2,777","2,833","2,412","3,120",,,"27,904"
,2015,"2,189","2,173","2,566","2,901","3,324","2,812","3,413","2,999","2,754","2,862","2,284","4,408","34,685"
,2014,"2,146","2,025","2,181","2,802","3,375","3,248","2,943","2,992","2,410","2,838","2,409","3,129","32,498"
,2013,"2,564","2,377","2,367","3,091","3,166","2,700","2,600","3,125","2,761","1,218","2,427","3,866","32,262"
,,,,,,,,,,,,,,
