place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,,
Badlands NP (BADL),2016,"10,826","10,921","20,501","22,812","78,863","196,209","249,194","217,071","129,350",,,,"935,747"
,2015,"10,414","10,942","21,924","27,193","68,239","191,593","245,400","231,866","117,724","34,498","16,771","12,790","989,354"
,2014,"9,548","8,671","15,898","25,054","63,131","168,011","210,370","208,807","96,882","36,929","13,973","10,820","868,094"
,2013,"11,882","11,033","18,258","20,750","65,043","177,507","225,096","208,579","104,029","25,530","16,663","8,002","892,372"
,,,,,,,,,,,,,,
Bandelier NM (BAND),2016,"7,001","8,715","16,166","17,580","26,597","20,099","22,731","19,516","21,224",,,,"159,629"
,2015,"6,590","5,417","11,702","17,373","24,647","19,242","21,144","18,621","17,722","16,232","7,970","7,413","174,073"
,2014,"4,575","4,447","12,755","11,643","14,817","13,731","15,748","14,207","10,348","12,053","8,475","7,307","130,106"
,2013,"3,181","4,037","12,916","12,201","16,107","15,254","17,490","16,079","10,869","4,615","7,341","6,592","126,682"
,,,,,,,,,,,,,,
Bent's Old Fort NHS (BEOL),2016,650,982,"2,136","3,001","3,947","4,296","4,544","2,926","3,701",,,,"26,183"
,2015,368,681,"1,577","2,806","3,104","3,461","3,899","2,334","3,125","2,190","1,205","1,469","26,219"
,2014,417,494,"1,331","2,443","3,439","3,656","3,603","2,446","2,220","2,121","1,075","1,310","24,555"
,2013,589,531,"1,129","1,951","3,757","3,281","3,520","2,891","2,736",694,"1,006","1,239","23,324"
,,,,,,,,,,,,,,
Bering Land Bridge NPRES (BELA),2016,260,127,292,216,172,148,438,156,,,,,"1,809"
,2015,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
,2014,260,127,292,210,172,148,438,156,61,422,182,168,"2,636"
,2013,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
,,,,,,,,,,,,,,
Big Bend NP (BIBE),2016,"36,716","44,176","54,642","37,280","40,935","18,630","16,165","16,144",,,,,"264,688"
,2015,"30,297","39,199","68,292","43,927","30,707","16,697","22,887","17,562","16,678","23,237","42,687","29,577","381,747"
,2014,"28,410","24,159","53,839","38,574","23,653","23,963","14,359","16,246","22,475","29,882","17,169","21,373","314,102"
,2013,"22,986","46,573","39,336","33,664","39,578","17,284","13,801","13,856","14,020","30,835","22,710","22,310","316,953"
,,,,,,,,,,,,,,
Big Cypress NPRES (BICY),2016,"112,464","141,457","161,649","97,850","83,736","59,535","58,699","51,889","66,335",,,,"833,614"
,2015,"114,045","144,112","153,084","113,880","72,510","64,968","78,688","49,854","53,746","65,884","83,195","118,324","1,112,290"
,2014,"127,164","133,848","136,666","115,328","87,118","43,338","67,652","70,933","66,734","81,536","119,940","142,599","1,192,856"
,2013,"129,114","133,314","121,425","86,704","74,480","47,543","63,556","53,732","45,631","56,478","83,228","112,583","1,007,788"
,,,,,,,,,,,,,,
Big Hole NB (BIHO),2016,390,432,673,"1,190","7,039","6,647","9,278","7,916",,,,,"33,565"
,2015,420,496,822,928,"5,444","6,674","9,057","7,535","5,867","1,692",384,230,"39,549"
,2014,283,304,410,832,"5,089","6,643","6,660","10,404","4,328","1,437",354,243,"36,987"
,2013,276,438,574,766,"4,688","5,689","10,577","8,885","5,032",446,423,298,"38,092"
,,,,,,,,,,,,,,
Big South Fork NRRA (BISO),2016,"22,228","23,051","41,502","67,014","83,715","66,823","54,577","56,856","92,128",,,,"507,894"
,2015,"38,700","12,965","35,906","55,464","69,955","90,320","59,316","63,676","72,834","57,040","43,492","43,467","643,135"
,2014,"21,485","32,785","30,888","56,651","66,952","57,575","76,270","54,661","58,135","60,437","42,976","41,091","599,906"
,2013,"22,561","36,709","28,100","51,542","60,999","60,902","62,678","46,766","59,605","57,121","45,371","32,709","565,063"
,,,,,,,,,,,,,,
Big Thicket NPRES (BITH),2016,"5,089","6,287","5,831","6,084","9,295","9,900","16,170","12,313","10,415",,,,"81,384"
,2015,"4,792","4,162","6,018","7,726","11,378","9,900","17,151","15,580","14,675","12,580","13,121","8,749","125,832"
,2014,"5,079","3,675","5,617","8,590","9,190","8,902","13,059","12,820","12,509","13,183","9,685","7,647","109,956"
,2013,"4,180","3,846","6,110","8,090","14,510","15,845","14,386","12,706","12,335","8,594","10,637","8,869","120,108"
,,,,,,,,,,,,,,
Bighorn Canyon NRA,2016,"4,933","7,020","8,821","16,609","26,266","36,799","35,359","28,916","18,811",159,,,"183,693"
,2015,"6,234","4,638","8,819","12,253","26,009","43,138","48,268","46,633","22,902","12,982","6,411","6,886","245,173"
,2014,"3,957","2,566","6,930","11,757","25,140","29,571","54,868","47,369","20,147","12,318","4,684","4,776","224,083"
,2013,"4,642","4,157","9,850","18,487","28,578","43,754","42,233","42,068","24,972","11,690","7,168","3,928","241,527"
,,,,,,,,,,,,,,
Biscayne NP,2016,"35,755","30,663","43,331","50,964","61,050","43,964","70,830","46,961","44,645",,,,"428,163"
,2015,"34,409","29,061","49,590","54,897","57,450","51,499","59,061","53,480","40,551","27,634","25,228","25,304","508,164"
,2014,"30,437","41,173","40,131","46,774","49,710","58,909","60,348","62,131","34,694","44,810","23,545","33,083","525,745"
,2013,"33,790","29,960","38,524","40,016","54,354","55,272","48,572","61,031","42,389","36,185","22,189","24,566","486,848"
,,,,,,,,,,,,,,
Black Canyon of the Gunnison NP,2016,"5,510","3,932","2,850","9,871","28,055","34,433","47,029","34,384",,,,,"166,064"
,2015,"4,600","4,136","5,968","8,896","23,176","33,141","45,328","27,197","29,878","16,626","5,550","4,670","209,166"
,2014,"3,469","4,031","4,302","6,761","21,157","28,536","42,253","25,712","24,788","13,432","4,925","3,679","183,045"
,2013,"4,046","3,410","6,698","8,606","23,708","21,927","37,010","33,279","23,945","5,789","3,296","4,138","175,852"
,,,,,,,,,,,,,,
Blue Ridge PKWY,2016,"450,737","433,266","839,602","1,092,182","1,435,847","1,742,474","1,723,742","1,751,852","1,659,155",,,,"11,128,857"
,2015,"529,823","342,861","565,341","1,080,067","1,406,028","1,870,910","1,759,692","1,849,457","1,801,576","1,804,356","1,174,534","869,958","15,054,603"
,2014,"372,916","234,247","485,618","1,080,792","1,380,856","1,607,713","1,614,833","1,728,615","1,679,458","1,914,541","1,252,711","589,449","13,941,749"
,2013,"378,631","352,042","402,981","899,950","1,198,785","1,601,958","1,481,644","1,429,948","1,533,175","1,660,640","1,277,667","659,947","12,877,368"
,,,,,,,,,,,,,,
Bluestone NSR,2016,78,59,251,400,"3,867","6,082","8,016","5,666","4,964",,,,"29,383"
,2015,46,37,242,448,"4,744","6,119","8,689","6,883","4,822","4,303",200,200,"36,733"
,2014,100,178,180,312,"4,911","7,072","9,735","6,847","4,497","4,246",200,172,"38,450"
,2013,100,100,150,150,"3,557","7,989","9,065","6,342","4,593","3,920",200,100,"36,266"
,,,,,,,,,,,,,,
Booker T. Washington NM,2016,785,822,"1,456","2,031","3,034","2,505","2,872","2,401","2,585",,,,"18,491"
,2015,"1,495",971,"1,689","1,883","3,250","5,664","3,491","3,328","1,254","1,981","1,190","1,009","27,205"
,2014,659,"1,396","1,746","2,126","2,120","3,464","3,778","2,155","2,059","2,741","2,533","1,350","26,127"
,2013,885,864,"1,499","2,246","2,661","2,927","3,019","2,488","1,928","1,125","1,360","1,101","22,103"
,,,,,,,,,,,,,,
Boston African American NHS,2016,"2,719","4,350","5,587","8,753","40,037","96,169","96,145","87,644","30,523",,,,"371,927"
,2015,"2,564","3,535","5,402","8,519","39,742","95,784","95,672","87,642","31,934","21,869","9,949","9,765","412,377"
,2014,"2,450","4,244","5,290","7,680","38,815","95,838","94,825","86,809","31,757","21,732","9,851","9,350","408,641"
,2013,"3,856","3,880","4,840","5,453","37,840","92,598","93,120","84,519","31,600","9,736","9,702","8,940","386,084"
,,,,,,,,,,,,,,
Boston NHP,2016,"70,940","74,507","135,987","188,861","249,038","308,934","443,405","348,301",,,,,"1,819,973"
,2015,"65,193","46,438","155,517","179,393","169,427","258,839","373,479","312,423","242,558","239,388","127,124","93,062","2,262,841"
,2014,"62,099","67,052","119,140","207,483","266,753","295,635","383,681","370,731","235,057","259,665","114,724","94,058","2,476,078"
,2013,"70,653","61,900","148,417","150,332","225,978","272,449","351,602","338,793","235,709","156,466","140,785","92,791","2,245,875"
,,,,,,,,,,,,,,
Brown v. Board of Education NHS,2016,"2,147","1,673","3,258","2,668","3,256","2,631","2,735","2,643","1,688",,,,"22,699"
,2015,"1,608","1,678","2,886","2,860","2,437","2,411","3,180","2,257","1,931","1,756","1,487",847,"25,338"
,2014,"2,349","1,858","2,530","2,600","3,817","2,486","2,865","1,875","1,546","1,495","1,800","1,647","26,868"
,2013,"1,313","1,277","2,189","2,280","2,487","2,154","2,639","1,580","1,058",512,"1,110",757,"19,356"
,,,,,,,,,,,,,,
Bryce Canyon NP,2016,"24,285","11,430","92,080","137,698","292,369","385,814","384,390","372,638","373,002",,,,"2,073,706"
,2015,"21,949","30,090","63,170","123,978","197,742","305,465","265,809","248,654","252,839","152,995","48,745","34,368","1,745,804"
,2014,"18,006","21,066","53,422","101,133","157,099","211,989","219,744","230,442","217,004","131,490","44,669","29,677","1,435,741"
,2013,"15,788","17,572","51,205","87,023","166,592","210,292","226,736","206,853","203,491","66,747","36,259","23,317","1,311,875"
,,,,,,,,,,,,,,
Buck Island Reef NM,2016,"4,537","4,122","5,051","3,523","2,491","3,707","3,471","2,301",881,,,,"30,084"
,2015,"4,110","4,113","5,265","4,778","4,571","3,322","4,136","2,496","1,957","1,179","2,199","3,810","41,936"
,2014,"3,665","3,496","4,534","3,307","2,121","2,658","3,690","2,036","1,180","1,480","2,178","4,055","34,400"
,2013,"3,417","4,239","4,410","2,716","2,065","1,432","2,690","2,142",799,879,"1,917","2,266","28,972"
,,,,,,,,,,,,,,
Buffalo NR,2016,"29,781","26,255","95,899","140,657","133,672","176,477","240,085","88,890",,,,,"931,716"
,2015,"29,942","37,059","74,457","114,445","161,723","299,670","250,813","164,899","104,920","119,029","47,478","58,869","1,463,304"
,2014,"34,950","29,049","75,325","111,985","169,353","264,577","267,901","167,059","111,981","62,802","45,831","16,244","1,357,057"
,2013,"37,874","27,558","82,480","111,322","155,872","223,746","176,886","132,186","74,152","45,005","35,914","22,232","1,125,227"
,,,,,,,,,,,,,,
Cabrillo NM,2016,"73,243","76,650","84,463","77,505","75,629","80,500","107,088","98,352",,,,,"673,430"
,2015,"82,149","81,818","86,890","82,130","81,309","82,171","104,496","90,579","75,470","67,511","74,841","72,461","981,825"
,2014,"66,601","61,866","75,497","78,786","73,258","76,264","98,672","91,542","68,677","65,556","72,107","64,608","893,434"
,2013,"72,852","69,184","79,253","65,515","67,598","76,434","102,375","88,264","70,259","18,188","71,928","74,278","856,128"
,,,,,,,,,,,,,,
Canaveral NS,2016,"102,061","136,845","181,932","181,404","221,608","172,855","216,437","143,200","95,843",,,,"1,452,185"
,2015,"108,691","110,041","200,878","168,201","191,627","154,056","163,169","132,020","117,186","120,443","105,075","118,367","1,689,754"
,2014,"78,888","109,284","145,992","147,126","158,837","140,445","153,317","136,649","99,216","111,776","74,673","95,022","1,451,225"
,2013,"77,818","74,410","93,937","108,504","117,644","88,500","135,701","115,814","105,657","55,454","74,790","85,459","1,133,688"
,,,,,,,,,,,,,,
Cane River Creole NHP,2016,"1,169","2,146","1,375","2,042","3,471","6,103","2,479","1,921","1,079",,,,"21,785"
,2015,"1,273","1,409","3,314","4,614","2,815","2,929","4,023","2,297","2,255","1,316","2,132","2,505","30,882"
,2014,"1,508","1,494","2,644","2,468","3,217","3,479","2,553","2,286","1,554","3,027","2,500","2,251","28,981"
,2013,"1,141","1,739","2,483","2,952","2,457","2,741","2,415","1,960","2,200",923,"2,137","2,408","25,556"
,,,,,,,,,,,,,,
Canyon de Chelly NM,2016,"2,565","10,786","21,092","27,802","40,316","45,043","50,010",,,,,,"197,614"
,2015,"54,525","44,377","62,087","74,973","75,728","90,679","94,777","95,194","95,239","52,800","35,106","38,201","813,686"
,2014,"54,534","44,237","62,278","75,009","74,538","90,812","94,727","95,267","96,847","52,090","46,951","40,471","827,761"
,2013,"54,590","44,475","62,329","75,040","74,249","90,989","94,668","95,278","97,361","52,134","47,087","40,278","828,478"
,,,,,,,,,,,,,,
Canyonlands NP,2016,"5,051","14,360","47,993","97,038","128,507","111,544","77,543","72,813","94,864",,,,"649,713"
,2015,"6,376","10,550","47,529","73,625","91,284","75,578","69,008","76,100","82,163","69,966","22,100","10,328","634,607"
,2014,"5,182","15,632","44,311","64,543","66,015","68,550","56,662","57,457","68,430","65,256","22,130","8,263","542,431"
,2013,"3,617","6,495","35,930","54,979","75,369","53,996","69,681","41,655","64,496","34,508","16,368","5,148","462,242"
,,,,,,,,,,,,,,
Cape Cod NS,2016,"112,515","128,564","207,251","253,472","350,720","554,284","858,171","1,000,526",,,,,"3,465,503"
,2015,"101,848","80,645","126,270","274,106","352,496","509,598","895,417","950,482","541,447","340,420","186,899","143,592","4,503,220"
,2014,"110,260","100,914","154,928","231,187","346,841","567,721","837,591","948,246","502,386","300,459","194,137","132,080","4,426,750"
,2013,"121,899","134,885","182,815","235,515","342,756","464,030","827,458","914,762","580,466","378,603","194,496","124,213","4,501,898"
,,,,,,,,,,,,,,
Cape Hatteras NS,2016,"56,772","65,176","127,642","143,142","230,909","350,934","424,324","373,493",,,,,"1,772,392"
,2015,"60,565","46,882","104,407","140,338","211,471","334,973","388,146","353,743","298,610","168,031","107,526","59,943","2,274,635"
,2014,"36,720","44,236","103,493","141,218","221,980","338,386","331,056","350,620","257,527","176,535","92,001","59,578","2,153,350"
,2013,"53,342","53,681","104,550","136,472","224,164","351,255","393,710","387,336","269,403","94,729","100,531","45,392","2,214,565"
,,,,,,,,,,,,,,
Cape Lookout NS,2016,"7,350","6,317","8,611","22,028","26,656","59,873","83,306","49,351","48,727",,,,"312,219"
,2015,"7,608","6,237","12,835","26,746","46,888","59,820","71,241","40,657","49,528","30,868","41,266","6,719","400,413"
,2014,"6,773","6,020","13,167","36,192","46,657","67,608","66,476","72,328","55,505","29,248","23,949","7,004","430,927"
,2013,"14,743","5,611","16,374","39,115","33,007","47,550","61,505","52,037","73,223","37,212","29,117","7,074","416,568"
,,,,,,,,,,,,,,
Capitol Reef NP,2016,"10,714","15,529","63,776","90,702","174,851","132,427","125,552","105,670","150,775",,,,"869,996"
,2015,"9,083","15,187","49,126","84,453","131,165","118,355","129,060","121,043","135,543","103,721","33,425","10,868","941,029"
,2014,"10,548","10,315","40,384","70,564","120,903","96,034","90,103","94,104","120,901","95,466","24,849","12,343","786,514"
,2013,"5,915","7,608","39,512","53,120","114,082","90,063","87,889","77,279","102,187","57,139","20,600","8,276","663,670"
,,,,,,,,,,,,,,
Capulin Volcano NM,2016,"1,121","1,585","4,865","2,251","4,761","9,595",,,,,,,"24,178"
,2015,"1,174",881,"4,369","2,040","4,836","9,549","13,029","8,423","4,785","3,182","1,801","1,437","55,506"
,2014,"1,373","1,116","3,758","1,926","4,716","8,684","12,017","8,055","3,688","2,784","1,623","1,152","50,892"
,2013,"1,048",943,"3,525","1,913","3,791","8,869","12,588","7,676","3,612",968,"1,591","1,942","48,466"
,,,,,,,,,,,,,,
Carl Sandburg Home NHS,2016,"3,005","3,272","13,098","9,421","9,639","5,392","6,508","5,231","5,246",,,,"60,812"
,2015,"5,087","3,118","9,558","8,291","9,194","6,791","7,316","5,900","4,672","8,330","1,704","2,645","72,606"
,2014,"3,321","4,463","7,492","7,732","9,190","7,078","8,696","7,366","6,202","9,860","6,379","4,598","82,377"
,2013,"4,860","3,783","10,230","9,967","8,891","7,577","7,702","6,993","6,497","4,784","6,912","3,514","81,710"
,,,,,,,,,,,,,,
Carlsbad Caverns NP,2016,"13,534","13,046","51,157","27,222","40,834","60,625","89,963","43,799","33,676","16,477",,,"390,333"
,2015,"11,930","16,416","49,677","37,600","45,315","58,142","82,452","48,084","31,630","29,050","19,488","15,936","445,720"
,2014,"16,251","16,157","43,129","34,926","37,253","49,729","65,899","47,616","18,768","23,537","19,874","24,170","397,309"
,2013,"13,354","14,541","49,637","29,066","37,253","52,188","67,267","46,967","28,603","8,040","18,746","22,904","388,566"
,,,,,,,,,,,,,,
Casa Grande Ruins NM,2016,"10,310","12,121","13,351","6,958","4,258","2,385","2,694","2,600","3,252",,,,"57,929"
,2015,"9,272","12,830","13,564","6,942","4,048","2,414","2,756","1,866","2,857","4,435","5,768","5,854","72,606"
,2014,"8,076","11,565","12,425","5,245","3,175","1,904","2,358","2,408","2,504","3,842","5,011","5,185","63,698"
,2013,"8,446","12,925","12,138","7,067","3,124","2,170","1,994","1,980","2,653","2,272","4,994","5,343","65,106"
,,,,,,,,,,,,,,
Castillo de San Marcos NM,2016,"63,725","68,241","104,286","95,651","81,701","70,589","88,024","63,318","41,733",,,,"677,268"
,2015,"66,736","70,966","89,398","82,877","76,787","64,819","78,999","56,039","43,232","52,171","59,877","77,253","819,154"
,2014,"52,772","56,236","90,630","73,961","73,276","62,704","77,198","61,333","34,726","49,588","59,303","68,981","760,708"
,2013,"55,716","56,677","106,558","76,044","93,180","61,237","80,342","53,973","36,948","24,508","61,990","70,955","778,128"
,,,,,,,,,,,,,,
Castle Clinton NM,2016,"167,938","178,651","364,754","378,426","448,491","523,744","642,442","615,974","410,036",,,,"3,730,456"
,2015,"160,542","138,134","276,799","404,731","469,295","508,696","626,495","620,829","404,272","394,375","281,108","311,753","4,597,029"
,2014,"152,656","141,069","271,816","415,665","598,887","532,269","635,236","640,871","381,321","386,903","270,474","299,943","4,727,110"
,2013,0,0,0,0,0,0,"463,710","528,191","340,678","273,886","279,116","295,113","2,180,694"
,,,,,,,,,,,,,,
Catoctin Mountain Park,2016,"7,038","5,492","17,267","6,515","28,153","23,958","24,085","19,850",,,,,"132,358"
,2015,"7,335","5,896","18,102","21,334","34,293","28,949","20,340","25,001","18,149","28,269","8,328","13,305","229,301"
,2014,"5,429","1,778","10,320","22,330","27,902","28,704","18,279","21,335","20,569","11,928","5,858","13,738","188,170"
,2013,"2,256","5,028","18,682","10,642","21,726","24,891","24,456","19,571","24,919","8,696","6,008","8,338","175,213"
,,,,,,,,,,,,,,
Cedar Breaks NM,2016,"12,540","9,522","17,876","20,800","49,054","130,375","211,439","139,616",,,,,"591,222"
,2015,"14,269","5,964","6,571","9,694","42,466","128,013","167,040","129,293","136,735","94,514","39,485","19,557","793,601"
,2014,"5,598","6,895","8,502","9,010","51,634","141,800","156,736","147,365","109,811","47,586","45,397","32,573","762,907"
,2013,"8,390","6,848","6,648","16,586","33,367","67,643","99,069","77,091","60,992","39,660","33,130","17,026","466,450"
,,,,,,,,,,,,,,
Cesar E. Chavez NM,2016,593,"1,679","2,048","1,252","1,750","2,902","1,316","1,345",999,,,,"13,884"
,2015,520,496,845,"1,766","1,031",950,989,865,902,819,695,770,"10,648"
,2014,448,445,"3,046",877,804,504,354,444,477,532,404,519,"8,854"
,2013,526,461,644,"1,804",627,845,820,815,605,171,456,383,"8,157"
,,,,,,,,,,,,,,
Chaco Culture NHP,2016,675,"1,717","4,680","5,640","7,914","6,083","5,674","4,096","6,350",,,,"42,829"
,2015,681,"1,317","2,575","3,436","6,003","3,777","3,389","2,857","5,237","6,413","2,174","1,055","38,914"
,2014,927,960,"3,408","4,269","5,843","4,304","2,329","3,642","4,316","5,273","1,977","1,138","38,386"
,2013,531,782,"3,560","3,829","3,466","4,490","4,088","2,960","2,482",879,"1,703","1,147","29,917"
,,,,,,,,,,,,,,
Chamizal NMEM,2016,"2,320","5,758","6,478","11,712","11,619","10,858","55,239","13,830","15,503",,,,"133,317"
,2015,"2,287","4,967","7,583","8,572","13,456","18,089","37,445","8,728","12,206","3,179","1,835","4,084","122,431"
,2014,"5,576","9,452","9,482","11,326","9,672","15,627","19,615","10,254","10,110","2,303","3,045","1,937","108,399"
,2013,"3,264","5,215","13,196","12,533","10,761","15,537","27,225","12,370","7,223",186,"12,891","1,536","121,937"
,,,,,,,,,,,,,,
Channel Islands NP,2016,"15,710","20,168","28,054","26,142","33,476","39,342","49,119","44,956","28,675",,,,"285,642"
,2015,"19,847","21,653","29,901","23,479","34,023","33,193","46,749","35,392","24,994","21,871","18,913","14,801","324,816"
,2014,"18,927","21,183","32,109","25,698","32,869","43,584","50,470","39,208","27,100","18,271","17,923","14,819","342,161"
,2013,"12,800","10,671","15,541","18,927","21,009","24,797","27,997","26,273","18,851","7,193","13,638","14,332","212,029"
,,,,,,,,,,,,,,
Charles Pinckney NHS,2016,"2,867","3,353","5,198","5,081","4,976","4,752","5,397","8,775","1,220",,,,"41,619"
,2015,"2,781","3,723","4,900","4,574","3,837","3,893","4,417","3,885","4,655","3,688","3,486","3,156","46,995"
,2014,"2,738","3,092","5,630","6,631","4,101","5,964","4,946","4,231","5,505","4,514","3,256","2,878","53,486"
,2013,"3,407","2,535","5,198","4,328","3,826","4,236","5,022","4,563","5,613","2,014","3,632","2,935","47,309"
,,,,,,,,,,,,,,
Chattahoochee River NRA,2016,"147,974","134,134","197,294","221,439","273,486","293,275","344,845","294,288","249,971",,,,"2,156,706"
,2015,"172,186","159,831","290,681","312,873","378,812","435,665","375,494","363,698","228,360","172,586","143,338","139,680","3,173,204"
,2014,"164,235","204,449","285,445","263,684","318,634","401,393","317,615","317,041","203,680","222,175","197,092","223,717","3,119,160"
,2013,"181,678","213,668","266,428","258,880","304,300","409,806","317,566","319,040","213,692","123,740","207,842","223,252","3,039,892"
,,,,,,,,,,,,,,
Chesapeake & Ohio Canal NHP,2016,"163,696","193,151","358,175","482,046","433,298","503,215","491,132","546,519",0,,,,"3,171,232"
,2015,"171,828","136,421","287,277","495,612","689,455","422,593","533,292","507,137","503,824","405,276","359,899","285,698","4,798,312"
,2014,"197,495","172,468","328,666","468,219","643,315","639,084","559,463","552,185","487,091","438,981","304,635","274,617","5,066,219"
,2013,"208,480","201,559","325,347","488,245","575,133","643,225","555,065","640,906","425,811","439,735","243,133","194,728","4,941,367"
,,,,,,,,,,,,,,
Chickamauga & Chattanooga NMP,2016,"62,781","66,074","93,226","92,091","95,422","98,754","106,241","89,135","92,874",,,,"796,598"
,2015,"63,229","62,472","85,540","91,089","104,173","89,953","93,825","88,353","87,299","93,873","76,167","66,400","1,002,373"
,2014,"59,010","64,465","85,874","89,475","92,581","96,607","102,335","93,276","87,536","82,622","75,546","67,367","996,694"
,2013,"64,661","62,924","82,788","87,609","83,815","90,125","91,602","79,543","87,582","39,791","74,755","60,789","905,984"
,,,,,,,,,,,,,,
Chickasaw NRA,2016,"52,404","52,098","80,755","88,830","166,654","265,226","318,628","281,783",,,,,"1,306,378"
,2015,"40,854","47,153","83,501","89,802","119,118","230,712","142,399","245,531","123,688","60,638","45,564","25,145","1,254,105"
,2014,"58,289","61,144","96,393","85,594","128,505","152,242","170,265","171,608","94,803","53,766","50,090","29,384","1,152,083"
,2013,"41,837","52,699","82,477","79,780","106,806","141,855","157,086","167,442","109,163","63,182","68,704","28,638","1,099,669"
,,,,,,,,,,,,,,
Chiricahua NM,2016,"4,593","5,684","8,070","5,519","3,394","2,374","2,696","2,624","3,261",,,,"38,215"
,2015,"3,942","6,711","10,203","7,605","5,595","2,877","2,726","1,958","2,796","4,277","4,927","3,343","56,960"
,2014,"3,134","4,699","6,487","7,216","4,120","2,126","2,506","2,329","2,060","3,372","3,820","3,256","45,125"
,2013,"2,547","3,177","6,852","5,454","3,953","2,050","1,822",620,"1,864","1,416","3,123","7,768","40,646"
,,,,,,,,,,,,,,
Christiansted NHS,2016,"10,778","12,115","11,443","10,252","9,136","8,620","9,498","8,576","7,882","7,252",,,"95,552"
,2015,"11,440","11,503","12,479","10,187","9,370","8,588","10,396","8,108","8,350","8,363","8,838","9,195","116,817"
,2014,"9,815","10,154","10,539","8,928","8,532","8,753","9,604","8,180","7,776","8,052","8,908","9,918","109,159"
,2013,"11,193","11,890","12,683","10,351","10,375","9,085","9,861","7,944","8,180","8,075","9,592","9,409","118,638"
,,,,,,,,,,,,,,
City of Rocks NRES,2016,500,550,"1,215","4,000","18,995","13,801","14,125","16,687","13,482",,,,"83,355"
,2015,500,550,"1,115","5,820","14,476","16,068","15,442","14,385","13,432","14,886","5,821","2,794","105,289"
,2014,490,490,"1,089","6,019","14,097","15,413","10,780","14,479","15,651","10,262","4,305","1,750","94,825"
,2013,440,350,625,"4,643","15,029","17,888","9,523","12,040","13,184","8,214","7,056","5,914","94,906"
,,,,,,,,,,,,,,
Clara Barton NHS,2016,0,0,0,0,0,0,0,0,0,,,,0
,2015,288,186,429,308,428,325,482,377,0,0,0,0,"2,823"
,2014,854,866,"2,261","2,284","2,535","2,508","2,517","3,031","1,782",489,498,403,"20,028"
,2013,"1,004","1,127","2,392","3,015","1,911","2,746","2,530","2,311","1,754",777,"2,321",849,"22,737"
,,,,,,,,,,,,,,
Colonial NHP,2016,"136,581","107,444","285,541","341,299","330,418","367,848","397,021","368,873",,,,,"2,335,025"
,2015,"137,701","106,662","281,139","340,424","330,316","367,671","396,495","368,474","321,708","323,432","195,337","174,550","3,343,909"
,2014,"136,538","107,270","284,815","340,040","330,262","367,272","396,495","368,474","321,254","322,345","187,963","172,332","3,335,060"
,2013,"119,042","127,407","314,654","318,234","301,731","338,334","365,886","307,959","319,974","285,525","195,739","174,246","3,168,731"
,,,,,,,,,,,,,,
Colorado NM,2016,"15,101","17,144","26,231","34,489","43,734","41,311","46,928","45,342","38,849",,,,"309,129"
,2015,"21,417","25,051","46,272","49,978","59,202","68,521","86,937","89,653","49,574","55,269","24,873","11,259","588,006"
,2014,"11,440","18,574","30,419","40,776","46,491","42,000","44,556","45,170","49,389","45,544","23,677","18,826","416,862"
,2013,"8,996","13,680","33,954","42,491","55,729","46,014","48,628","55,419","43,973","22,034","23,762","14,671","409,351"
,,,,,,,,,,,,,,
Congaree NP,2016,"6,850","6,556","19,387","14,227","16,201","13,592","8,229","11,052",,,,,"96,094"
,2015,"3,435","6,068","11,150","10,804","10,988","7,964","8,640","4,946","3,880","4,158","8,935","6,545","87,513"
,2014,"7,994","7,710","12,177","16,771","9,351","9,408","7,909","9,751","9,756","11,901","10,325","7,069","120,122"
,2013,"10,098","6,197","12,453","14,120","12,612","11,977","11,859","8,064","8,220","6,794","11,044","6,902","120,340"
,2012,"8,132","6,641","11,524","11,967","14,102","6,388","8,362","7,088","8,501","11,004","9,470","6,506","109,685"
,,,,,,,,,,,,,,
Coronado NMEM,2016,"8,851","13,078","13,538","13,283","10,854","15,217","10,411","7,669","10,042",,,,"102,943"
,2015,"13,012","13,345","10,067","11,193","9,671","13,441","6,412","11,016","10,953","9,558","12,639","11,277","132,584"
,2014,"10,736","10,216","11,376","11,100","7,991","7,396","10,486","10,552","7,352","10,394","9,747","11,492","118,838"
,2013,"10,882","8,058","8,304","9,097","5,532","4,544","3,900","11,047","8,469","4,267","10,336","8,500","92,936"
,,,,,,,,,,,,,,
Cowpens NB,2016,"17,084","10,822","17,710","19,889","19,847","17,923","21,993","18,550","19,231",,,,"163,049"
,2015,"18,215","9,346","16,776","17,509","24,809","20,211","21,420","23,461","13,661","18,589","11,315","11,428","206,740"
,2014,"14,760","12,669","16,448","19,369","19,750","12,342","23,032","22,981","15,574","18,271","14,136","11,504","200,836"
,2013,"17,238","12,321","17,220","13,552","17,710","21,349","22,058","28,006","31,776","8,544","14,973","11,492","216,239"
,,,,,,,,,,,,,,
Crater Lake NP,2016,"3,112","7,170","8,961","20,389","40,627","122,905","190,231","176,895","131,760",,,,"702,050"
,2015,"10,489","8,635","13,938","16,918","48,217","84,679","147,623","97,673","128,398","42,803","12,769","2,570","614,712"
,2014,"7,501","4,592","15,767","10,125","30,492","76,338","121,701","124,944","87,060","37,254","9,614","10,120","535,508"
