GEFFRYE MUSEUM	(-0.07620919228878127, 51.53173329389861)	48.4198995313	[(-0.0761629, 51.531669), (-0.0761336, 51.531669), (-0.0761347, 51.5317072), (-0.0761191, 51.5317169), (-0.0761124, 51.531728), (-0.0761113, 51.5317426), (-0.0761135, 51.5317523), (-0.0761247, 51.5317593), (-0.0761325, 51.5317635), (-0.0761336, 51.5318135), (-0.0761657, 51.5318135), (-0.0761725, 51.5321674), (-0.0762443, 51.5321682), (-0.0762695, 51.5321674), (-0.0762552, 51.5313008), (-0.0762305, 51.531301), (-0.0762195, 51.5313011), (-0.0761559, 51.5313015), (-0.0761562, 51.5313177), (-0.0761575, 51.531385), (-0.0761579, 51.5314079), (-0.0761629, 51.531669)]
HMS BELFAST (IWM)	(-0.08124480470787274, 51.50654449697802)	94.9069282075	[(-0.0801472, 51.5063944), (-0.0803229, 51.5064414), (-0.0805033, 51.5064901), (-0.0807496, 51.5065498), (-0.0810462, 51.5066087), (-0.0813478, 51.5066588), (-0.0815944, 51.5067034), (-0.081795, 51.5067332), (-0.0820145, 51.5067653), (-0.0821708, 51.5067834), (-0.0823263, 51.5067979), (-0.0825609, 51.5067861), (-0.0825305, 51.5067708), (-0.0824579, 51.5067362), (-0.0823866, 51.5067059), (-0.0821387, 51.506639), (-0.0818574, 51.5065721), (-0.0814055, 51.5064757), (-0.0810926, 51.5064128), (-0.0807892, 51.5063636), (-0.0802993, 51.5063065), (-0.0802614, 51.5063039), (-0.0802144, 51.5063008), (-0.0801968, 51.5062996), (-0.0800971, 51.5062928), (-0.0800262, 51.5062915), (-0.0799707, 51.5063085), (-0.079996, 51.506338), (-0.0801472, 51.5063944)]
HORNIMAN MUSEUM	(-0.060973597583392984, 51.44099699201342)	46.6358430775	[(-0.0614117, 51.4407754), (-0.0614144, 51.4407602), (-0.0612474, 51.4407488), (-0.0612446, 51.4407646), (-0.0612236, 51.4407632), (-0.0612258, 51.4407506), (-0.060977, 51.4407335), (-0.0609784, 51.4407258), (-0.0606822, 51.4407056), (-0.0605715, 51.4413336), (-0.060851, 51.4413527), (-0.0608794, 51.4411916), (-0.0609523, 51.4411966), (-0.0609757, 51.4410642), (-0.0610918, 51.4410722), (-0.0610878, 51.4410949), (-0.0610686, 51.4412038), (-0.061138, 51.4412085), (-0.0611355, 51.441223), (-0.0613321, 51.4412365), (-0.0613611, 51.4410721), (-0.061379, 51.4409708), (-0.0614117, 51.4407754)]
IWM DUXFORD1	(0.13002806213137838, 52.09203218248474)	930.974152771	[(0.1374501, 52.0976407), (0.1378538, 52.0975184), (0.1382512, 52.0972507), (0.1390451, 52.0966683), (0.1418995, 52.093514), (0.1213538, 52.0855685), (0.119207, 52.0877345), (0.1213109, 52.0885915), (0.1192912, 52.0903502), (0.1259059, 52.0940815), (0.1268406, 52.0944885), (0.1288783, 52.0951659), (0.1311117, 52.0959219), (0.1326199, 52.0964255), (0.1331524, 52.0965957), (0.1333361, 52.0966122), (0.1344023, 52.096917), (0.136463, 52.0976144), (0.1366125, 52.0976742), (0.1367976, 52.0977043), (0.1374501, 52.0976407)]
IWM DUXFORD2	(0.13108041779211943, 52.0949472037992)	44.0958789228	[(0.1311961, 52.0953376), (0.1304803, 52.0950939), (0.1309648, 52.0945568), (0.1316805, 52.0948005), (0.1311961, 52.0953376)]
IWM DUXFORD3	(0.13675014333954175, 52.09663978697522)	82.8787122001	[(0.1362767, 52.0972973), (0.1362919, 52.0972943), (0.1362978, 52.097306), (0.1363763, 52.0973027), (0.1365939, 52.0972721), (0.1370603, 52.0971914), (0.1375056, 52.097089), (0.1376996, 52.0970345), (0.1377687, 52.0970088), (0.1372046, 52.0959482), (0.1370199, 52.0960045), (0.136942, 52.0960203), (0.1369237, 52.0959919), (0.1357224, 52.0962519), (0.1362767, 52.0972973)]
IWM DUXFORD4	(0.1287391322200231, 52.09413194627486)	43.2155738154	[(0.1281494, 52.0942732), (0.1288534, 52.0945144), (0.1293289, 52.0939907), (0.1286248, 52.0937495), (0.1281494, 52.0942732)]
IWM DUXFORD5	(0.12757859602662802, 52.09373736761952)	42.7869377748	[(0.1276748, 52.0941178), (0.1281624, 52.0935974), (0.1274824, 52.0933569), (0.1269948, 52.0938774), (0.1276748, 52.0941178)]
IWM DUXFORD6	(0.13323122115885166, 52.09572365497613)	54.3573679768	[(0.1336174, 52.0961514), (0.1325683, 52.0959946), (0.1328451, 52.0952959), (0.1338941, 52.0954527), (0.1336174, 52.0961514)]
IWM DUXFORD7	(0.12738409999999944, 52.0943997)	15.5873353646	[(0.127435, 52.094263), (0.1272235, 52.0944994), (0.1273332, 52.0945364), (0.1275447, 52.0943), (0.127435, 52.094263)]
IWM DUXFORD8	(0.12572097811155433, 52.09256923621024)	54.2749638479	[(0.1256179, 52.0929157), (0.12532, 52.0928892), (0.1251827, 52.0928259), (0.1250969, 52.0927257), (0.125114, 52.0925675), (0.125217, 52.0924041), (0.1254303, 52.0922918), (0.1257561, 52.0920813), (0.1259687, 52.0922283), (0.1261643, 52.092387), (0.1263248, 52.0925604), (0.1264419, 52.0927288), (0.1261317, 52.0928293), (0.1258319, 52.0929069), (0.1256179, 52.0929157)]
IWM DUXFORD9	(0.12287876350582995, 52.09040750242843)	76.7103638465	[(0.1235465, 52.0908991), (0.1236671, 52.0907828), (0.1237686, 52.0908182), (0.1238975, 52.0906986), (0.1237988, 52.0906598), (0.1239194, 52.0905486), (0.1221452, 52.0899025), (0.1218079, 52.0902464), (0.1235465, 52.0908991)]
IWM NORTH1	(-2.298809478909795, 53.46971164644416)	75.6785242797	[(-2.2994149, 53.4698677), (-2.2996641, 53.4700759), (-2.2992533, 53.4702125), (-2.2989535, 53.4700781), (-2.2987094, 53.4699615), (-2.2985048, 53.4698644), (-2.2984957, 53.4698815), (-2.2980365, 53.4698441), (-2.2979588, 53.4696804), (-2.2981471, 53.4696702), (-2.2984782, 53.4690598), (-2.2992654, 53.4697216), (-2.2993022, 53.469641), (-2.2994916, 53.4696493), (-2.2995452, 53.4697259), (-2.2995184, 53.4697707), (-2.2994701, 53.4698281), (-2.2994149, 53.4698677)]
IWM NORTH2	(-2.2998842400427906, 53.46984103929806)	68.733344	[(-2.2999325, 53.470444), (-2.2994801, 53.4703231), (-2.2994978, 53.4701447), (-2.2996887, 53.4700677), (-2.2994765, 53.4698398), (-2.2995635, 53.4697348), (-2.2994983, 53.4696378), (-2.2994116, 53.46963), (-2.2993822, 53.4692995), (-2.300545, 53.4695998), (-2.2999325, 53.470444)]
NATIONAL COAL MINING MUSEUM	(-1.6194233167077883, 53.64356671510561)	44.4130492037	[(-1.6199328, 53.6434627), (-1.6198356, 53.6433952), (-1.619926, 53.6433458), (-1.6197287, 53.6432104), (-1.6189137, 53.6436337), (-1.6189661, 53.6436728), (-1.6189164, 53.643694), (-1.6190147, 53.6437627), (-1.6190632, 53.6437455), (-1.6192259, 53.6438516), (-1.6192646, 53.6438334), (-1.6193355, 53.64388), (-1.6194506, 53.643818), (-1.6195442, 53.6438515), (-1.6196873, 53.6436896), (-1.6195587, 53.6436496), (-1.6195234, 53.6436718), (-1.619428, 53.6436111), (-1.6197386, 53.6434468), (-1.6198483, 53.6435131), (-1.6199328, 53.6434627)]
NATIONAL GALLERY	(-0.12896074114217967, 51.50886106986929)	99.4193519834	[(-0.1278322, 51.5092161), (-0.1284851, 51.5090926), (-0.1285506, 51.5092575), (-0.1287096, 51.5092314), (-0.1287166, 51.509248), (-0.128839, 51.509228), (-0.1288477, 51.5092486), (-0.1291009, 51.5092071), (-0.1292057, 51.5094547), (-0.129818, 51.5093543), (-0.1296755, 51.5090177), (-0.1295391, 51.5090401), (-0.1295281, 51.5090142), (-0.1295703, 51.5090073), (-0.1295081, 51.5088603), (-0.1294592, 51.5088683), (-0.1294262, 51.5087902), (-0.1295626, 51.5087678), (-0.1296078, 51.5088739), (-0.1301679, 51.5087582), (-0.1300036, 51.5084381), (-0.1297979, 51.5082144), (-0.1295636, 51.5082969), (-0.1295052, 51.5083503), (-0.1294692, 51.5084625), (-0.1294416, 51.5084823), (-0.1295254, 51.508679), (-0.1293856, 51.5087017), (-0.1293586, 51.5086375), (-0.1293945, 51.5086317), (-0.1293329, 51.5084847), (-0.1291284, 51.5085179), (-0.1291091, 51.5084719), (-0.128974, 51.5084938), (-0.1289809, 51.5085102), (-0.1288486, 51.5085316), (-0.1288384, 51.5085072), (-0.1287869, 51.5085156), (-0.1287364, 51.5085238), (-0.1286761, 51.5085335), (-0.128684, 51.5085524), (-0.1286014, 51.5085658), (-0.1285475, 51.5085746), (-0.1285402, 51.5085571), (-0.1284622, 51.5085698), (-0.1284528, 51.5085473), (-0.1283069, 51.508571), (-0.1281688, 51.5085934), (-0.1281816, 51.5086239), (-0.1281015, 51.5086369), (-0.1281101, 51.5086573), (-0.128043, 51.5086682), (-0.1279653, 51.5086808), (-0.1279574, 51.508662), (-0.1279031, 51.5086708), (-0.1278496, 51.5086794), (-0.1277871, 51.5086896), (-0.1277944, 51.5087069), (-0.1276714, 51.5087269), (-0.1276642, 51.5087097), (-0.1275388, 51.50873), (-0.1275634, 51.5087886), (-0.1276553, 51.5087729), (-0.1278322, 51.5092161)]
NATIONAL PORTRAIT GALLERY	(-0.12805554974024982, 51.50925127369304)	70.5868690863	[(-0.1275869, 51.5093309), (-0.1276282, 51.5094294), (-0.1277773, 51.5094052), (-0.1278212, 51.50951), (-0.1278854, 51.5094996), (-0.1279133, 51.5095661), (-0.1283861, 51.5094894), (-0.1285498, 51.5094628), (-0.1285463, 51.5094272), (-0.1286317, 51.509424), (-0.1286335, 51.5094422), (-0.1290364, 51.5094268), (-0.1290267, 51.509329), (-0.1289564, 51.5093316), (-0.1289512, 51.5092788), (-0.1285586, 51.5093038), (-0.1285555, 51.5092861), (-0.1285506, 51.5092575), (-0.1284851, 51.5090926), (-0.1278322, 51.5092161), (-0.1276553, 51.5087729), (-0.1275634, 51.5087886), (-0.127356, 51.5088228), (-0.1274118, 51.5089541), (-0.127431, 51.5089509), (-0.1274596, 51.509018), (-0.1274371, 51.5090217), (-0.1274082, 51.5090607), (-0.1274214, 51.5090918), (-0.1274296, 51.5091108), (-0.1274778, 51.5091299), (-0.1275054, 51.5091253), (-0.1275344, 51.5091936), (-0.1274865, 51.5092015), (-0.1275446, 51.5093382), (-0.1275869, 51.5093309)]
ROYAL MUSEUMS GREENWICH	(-0.004997542705203309, 51.48120006949686)	214.851888575	[(-0.0080089, 51.4811348), (-0.0068601, 51.4796886), (-0.004687, 51.4803487), (-0.0023653, 51.4811072), (-0.0022659, 51.481516), (-0.0022371, 51.4816343), (-0.0028, 51.4823091), (-0.0030546, 51.4826563), (-0.0031116, 51.4827329), (-0.0031222, 51.4827409), (-0.0031374, 51.4827398), (-0.0046168, 51.4822556), (-0.0047331, 51.4822164), (-0.0059654, 51.4818039), (-0.0060732, 51.4817686), (-0.0065049, 51.4816273), (-0.0080089, 51.4811348)]
